osm_id,name,name_en,name_si,name_ta,type,operator,lat,lon
12630524655,Alawathupitiya,Alawathupitiya,,,stop,,7.1159668,79.8871084
12630524656,Alawathupitiya,Alawathupitiya,,,stop,,7.1159617,79.8870741
12630529402,Kudahakapola,Kudahakapola,,,stop,,7.1038647,79.8897193
12630529403,Kudahakapola,Kudahakapola,,,stop,,7.1038756,79.8897583
12630531704,Ragama,Ragama,,,stop,,7.0297732,79.9214131
12630531705,Ragama,Ragama,,,stop,,7.0297706,79.9213797
12630531706,Ragama,Ragama,,,stop,,7.0297617,79.9212693
12630531707,Horape,Horape,,,stop,,7.0165838,79.9182732
12630531708,Horape,Horape,,,stop,,7.0166096,79.9181885
12630541744,Tudella,Tudella,,,stop,,7.092953,79.8910149
12630541745,Tudella,Tudella,,,stop,,7.0929501,79.8909847
12630541746,Ja ela,Ja ela,,,stop,,7.0778031,79.8921866
12630541747,Ja ela,Ja ela,,,stop,,7.0777825,79.8921097
12630541748,Ja ela,Ja ela,,,stop,,7.0777755,79.8920702
12630541749,Kapuwatta,Kapuwatta,,,stop,,7.0629207,79.8960865
12630541750,Kapuwatta,Kapuwatta,,,stop,,7.0629174,79.896057
12630555744,Kochchikade,Kochchikade,,,stop,,7.2642118,79.8572484
12630555745,Kattuwa,Kattuwa,,,stop,,7.2399301,79.8474812
12630555746,Negombo,Negombo,,,stop,,7.2102961,79.8419988
12630555747,Kurana,Kurana,,,stop,,7.1911266,79.8622183
12630555748,Kurana,Kurana,,,stop,,7.1910866,79.8621015
12630555749,Katunayake,Katunayake,,,stop,,7.1675175,79.8720081
12630555750,Katunayake,Katunayake,,,stop,,7.1674997,79.8719748
12630555751,IPZ - Katunayake South,IPZ - Katunayake South,,,stop,,7.157925,79.8753326
12630556002,Tummodera,Tummodera,,,stop,,7.3905008,79.8590892
12630556003,Lunuwila,Lunuwila,,,stop,,7.3468531,79.8629809
12630556004,Bolawatta,Bolawatta,,,stop,,7.2971299,79.8609919
