from,to,distance_km,duration_min
horana,ampara,293.9,324.3
horana,kalmunai,318.1,351.5
horana,akkaraipattu,312.7,334.5
horana,erei,273.9,298.9
horana,kattankudy,339.1,359.2
horana,mutur,288.6,309.6
horana,valachchenai,310.5,331.5
horana,kurunegala,117.2,113.9
horana,puttalam,168.5,169.1
horana,chilaw,114.8,111.2
horana,kuliyapitiya,106.9,117.2
horana,naththandiya,99.0,100.3
horana,wennappuwa,89.9,85.9
horana,madurankuliya,155.0,156.2
horana,pannala,97.0,97.9
horana,anuradhapura,217.4,248.2
horana,polonnaruwa,239.0,243.5
horana,medawachchiya,253.7,268.4
horana,kaduruwela,241.6,248.9
horana,kekirawa,201.2,207.7
horana,habarana,194.5,195.4
horana,galenbindunuwewa,259.4,283.5
horana,talawa,200.8,227.4
horana,badulla,175.6,190.8
horana,bandarawela,147.9,159.5
horana,monaragala,201.1,213.6
horana,welimada,163.0,178.6
horana,mahiyanganaya,213.3,240.1
horana,haputale,131.1,157.6
horana,ella,161.1,174.3
horana,passara,189.8,217.4
horana,wellawaya,153.8,163.2
horana,ratnapura,50.1,54.7
horana,kegalle,99.9,101.9
horana,embilipitiya,122.0,133.0
horana,balangoda,93.8,100.8
horana,ruwanwella,56.7,84.9
horana,deraniyagala,61.2,89.4
horana,kitulgala,77.3,105.5
horana,rakkula,79.5,86.7
avissawella,wattala,46.2,56.8
avissawella,homagama,33.5,44.4
avissawella,maharagama,40.7,56.0
avissawella,boralesgamuwa,43.1,58.9
avissawella,kandy,86.0,104.7
avissawella,matale,109.5,137.2
avissawella,nuwara eliya,112.2,125.4
avissawella,gampola,81.9,96.3
avissawella,hatton,73.8,82.8
avissawella,dambulla,137.2,145.8
avissawella,katugastota,89.4,110.1
avissawella,peradeniya,80.1,97.4
avissawella,pilimathalawa,73.3,88.9
avissawella,galagedara,88.3,116.3
avissawella,galle,139.8,131.3
avissawella,matara,177.0,155.9
avissawella,hambantota,169.8,173.5
avissawella,tangalle,162.6,171.4
avissawella,ambalangoda,123.1,115.0
avissawella,deniyaya,137.3,147.5
avissawella,tissamaharama,178.7,185.1
avissawella,akuressa,165.2,151.6
avissawella,weligama,164.9,145.4
